timestamp,drone_pos_x,drone_pos_y,drone_pos_z,drone_roll,drone_pitch,drone_yaw,drone_lin_vel_x,drone_lin_vel_y,drone_lin_vel_z,drone_ang_vel_x,drone_ang_vel_y,drone_ang_vel_z,closest_obs_distance,closest_obs_pos,identified_markers_ids
1646143486,-6.07594450933e-05,0.000227758657204,0.232466465001,-0.000348186096779,6.97800163673e-07,89.911393479,0.00199965116836,8.9115320806e-05,0.00210202268106,-0.0288856553883,0.628045012093,-0.00146550405257,1.88259971142,front,"[18, 26]"
1646143486,-5.83766585566e-05,0.00022791314549,0.232466562761,0.000409494020885,9.69100188442e-06,89.9113489299,-0.00204583078486,2.8344643984e-05,0.00229778919342,-0.00501313058637,-0.641791997186,-0.00630583736141,1.88310551643,front,"[18, 26]"
1646143487,-6.08341929108e-05,0.000228076454336,0.232466465002,-0.00034818654011,6.97857042388e-07,89.9112770094,0.00199965159977,8.91117870926e-05,0.00210202393412,-0.0288845292271,0.628045146202,-0.00146547772696,1.88667571545,front,"[18, 26]"
1646143488,-6.17125098138e-05,0.000231811265261,0.23246646501,-0.000348191866146,6.985072501e-07,89.9099085298,0.00199965649065,8.90704541324e-05,0.00210203861285,-0.0288713611087,0.628046666871,-0.00146517682171,1.88577485085,front,"[18, 26]"
1646143490,-6.0245474068e-05,0.00023586085161,0.232466562748,0.00040948575758,9.68984600728e-06,89.9084373371,-0.00204581847953,2.84555365441e-05,0.00229775378226,-0.00504824971463,-0.641788317641,-0.00630529654969,1.88564562798,front,"[18, 26]"
1646143491,-6.1161303536e-05,0.000239757449092,0.232466562742,0.000409481637757,9.68972360921e-06,89.9070107402,-0.00204581258701,2.85084735468e-05,0.00229773670659,-0.00506489003257,-0.641786537578,-0.00630523975046,1.88673841953,front,"[18, 26]"
1646143492,-6.21145946939e-05,0.000243814682252,0.232466562735,0.000409477336979,9.68959692478e-06,89.9055259544,-0.0020458064361,2.85635715333e-05,0.00229771888608,-0.00508220943937,-0.64178467921,-0.00630518096389,1.88373291492,front,"[18, 26]"
1646143493,-6.30118849402e-05,0.000247634736778,0.232466562729,0.000409473327331,9.68947807912e-06,89.9041285457,-0.00204580064617,2.86154259443e-05,0.00229770223496,-0.0050985091679,-0.641782929875,-0.00630512580414,1.88153636456,front,"[18, 26]"
1646143494,-6.39653355296e-05,0.000251695119299,0.232466562722,0.000409469054342,9.68935181128e-06,89.9026438377,-0.00204579448979,2.86705152381e-05,0.00229768450438,-0.00511582574228,-0.641781069767,-0.00630506720137,1.88265216351,front,"[18, 26]"
1646143496,-6.73203814637e-05,0.000255682413345,0.232466465065,-0.00034822683947,7.02581864796e-07,89.9011746128,0.00199968665488,8.88083253779e-05,0.00210213271847,-0.0287878643181,0.628056045531,-0.00146329124593,1.88199746609,front,"[18, 26]"
1646143497,-6.5854821942e-05,0.000259758653783,0.232466562239,0.000409378059097,5.78240905196e-06,89.8997106574,-0.0020455074377,1.28385497187e-05,0.00229717617044,-0.00125717809168,-0.641865420922,-0.00450010307726,1.88476371765,front,"[18, 26]"
1646143498,-6.92177503178e-05,0.000263807318459,0.232466465084,-0.000348238623981,7.03955948184e-07,89.8982308357,0.00199969692065,8.87199328748e-05,0.00210216454236,-0.0287597083276,0.62805923758,-0.00146265536626,1.88571119308,front,"[18, 26]"
1646143499,-6.77513185605e-05,0.000267869077373,0.232466562696,0.000409451783109,9.68887067914e-06,89.8967599337,-0.0020457696649,2.88889555251e-05,0.00229761294257,-0.0051844839384,-0.641773563151,-0.00630484397955,1.88577461243,front,"[18, 26]"
1646143501,-7.10693295942e-05,0.000271703509614,0.232466465102,-0.000348250121062,7.05301751187e-07,89.8953490572,0.00199970699382,8.86333494356e-05,0.00210219564822,-0.0287321286331,0.628062369759,-0.00146203256552,1.88656187057,front,"[18, 26]"
1646143502,-6.96217715977e-05,0.000275848183148,0.232466562682,0.000409443267872,9.68863538269e-06,89.8938490856,-0.00204575737455,2.89970222125e-05,0.00229757763613,-0.00521844975329,-0.641769846531,-0.00630473479291,1.88676786423,front,"[18, 26]"
1646143503,-7.29586768344e-05,0.000279765711569,0.232466465121,-0.000348261841802,7.0667512974e-07,89.8924091474,0.00199971732028,8.85449867143e-05,0.00210222742624,-0.0287039822064,0.628065580804,-0.00146139700183,1.88468694687,front,"[18, 26]"
1646143504,0.000354772723698,0.000239764528425,0.267252352135,-0.0232487027692,-0.0357855807124,89.8911483027,0.0015535531104,-0.000615985516023,0.261929733949,0.133897475933,-0.0827706638006,-0.00044421437782,1.88536691666,front,"[18, 26]"
1646143505,0.000255369491652,-0.00309633386948,0.676793977505,0.00226852371808,-0.088317619899,89.8910153324,-0.00102364799914,-0.0054819607266,0.463551163047,0.111954785507,0.00726253081089,-8.68005119296e-06,1.89063179493,front,"[18, 26]"
1646143507,-0.000713867600579,-0.0153728911257,0.972708184254,8.56614523216e-06,-0.0723305818027,89.8910103832,-0.000952929761738,-0.0181666586995,-0.0183002302914,-0.0058949666759,-2.84053463364e-05,-1.13713558996e-06,1.899497509,front,"[18, 26]"
1646143508,-0.00163486866872,-0.037955392108,0.396594059829,0.000177112980463,-0.0640872838336,89.8910069435,-0.00088971361716,-0.027177553099,-1.27699014717,-0.00953503851598,0.000411125574733,-9.6201611198e-06,1.92340564728,front,"[18, 26]"
1646143509,-0.0017674301369,-0.0410388449654,0.232466086104,0.000106531936908,7.86100638608e-07,89.8956464576,-0.000536760167108,-6.07864765025e-05,0.00059790163324,0.0204278977338,-0.168336671549,-0.00217434598081,1.9245326519,front,"[18, 26]"
