drone_pos_x,drone_pos_y,drone_pos_z,drone_roll,drone_pitch,drone_yaw,drone_lin_vel_x,drone_lin_vel_y,drone_lin_vel_z,drone_ang_vel_x,drone_ang_vel_y,drone_ang_vel_z,closest_obs_distance,closest_obs_pos
0.00243203681023,0.000552445702432,0.232464338412,-0.000998794236032,-4.62346459707e-05,-0.943679492473,-7.99322664178e-05,0.00445948203063,-0.00221043839986,-1.40029425389,-0.0270119074673,-0.00391155126405,6.25212478638,front-left
0.00243211495676,0.000552465654496,0.232464338412,-0.000998794238504,-4.62347245498e-05,-0.943709614124,-7.99301396411e-05,0.00445948207502,-0.00221043838652,-1.40029426857,-0.0270112362624,-0.00391154411906,6.25089359283,front-left
0.0024322049775,0.000545990239247,0.23246428804,0.00103735908302,4.97803724906e-06,-0.943719942174,-5.31763226286e-05,-0.00447803228745,-0.00221053953981,1.40684365007,-0.0184948856684,0.00349062455416,6.24652004242,front-left
0.0024360336248,0.000546967713863,0.232464288041,0.00103735859884,4.97759407819e-06,-0.945195971155,-5.32967164271e-05,-0.00447803102355,-0.00221053890093,1.40684292811,-0.0185319850753,0.00348921475511,6.24701309204,front-left
0.00243986154875,0.000547944850676,0.232464288042,0.00103735811605,4.97715050011e-06,-0.946672129394,-5.34171239606e-05,-0.00447802975749,-0.00221053826197,1.40684220525,-0.01856908813,0.00348780369624,6.24020004272,front-left
0.00244383352521,0.0005554568714,0.232464338414,-0.000998794749792,-4.62464712194e-05,-0.948228471345,-7.96110028903e-05,0.00445948877118,-0.00221043642227,-1.40029648301,-0.0269105235446,-0.00391048425794,6.25161933899,front-left
0.00244773820791,0.000556453240188,0.232464338414,-0.000998794918905,-4.62503898363e-05,-0.949735026401,-7.95046118223e-05,0.00445949099847,-0.00221043576675,-1.40029721964,-0.0268769487399,-0.00391013079678,6.25038337708,front-left
0.00245164213697,0.000557449257185,0.232464338414,-0.000998795087864,-4.62543092256e-05,-0.951241716134,-7.93982126615e-05,0.00445949322294,-0.00221043511099,-1.40029795538,-0.0268433713861,-0.00390977732038,6.25263977051,front-left
0.00245546725587,0.000558425012444,0.232464338415,-0.000998795253953,-4.62581471803e-05,-0.952718402898,-7.92939209752e-05,0.00445949540099,-0.00221043446983,-1.40029867583,-0.0268104590642,-0.00390943078695,6.24829244614,front-left
0.00245929165052,0.000559400429753,0.232464338415,-0.000998795418255,-4.62619881391e-05,-0.954195219125,-7.91896288042e-05,0.00445949757517,-0.00221043382705,-1.40029939503,-0.0267775466031,-0.00390908426597,6.25469398499,front-left
0.00246334939932,0.000560435196802,0.232464338415,-0.000998795592886,-4.62660656026e-05,-0.9557625944,-7.90789440069e-05,0.00445949988139,-0.00221043314524,-1.40030015792,-0.0267426167136,-0.00390871640992,6.25339269638,front-left
0.0024670942894,0.000561390028549,0.232464338416,-0.000998795752315,-4.62698260192e-05,-0.957209531751,-7.89767518438e-05,0.00445950200514,-0.00221043251621,-1.40030086056,-0.0267103668721,-0.0039083766944,6.24973201752,front-left
0.0024710724729,0.000562404181815,0.232464338416,-0.00099879592368,-4.6273822887e-05,-0.958747038951,-7.88681666065e-05,0.00445950426128,-0.00221043184842,-1.40030160701,-0.0266760995226,-0.00390801576764,6.24747610092,front-left
0.00247506007254,0.000556922629594,0.232464288052,0.00103735368116,4.9730683487e-06,-0.960264888613,-5.4525841421e-05,-0.00447801795436,-0.00221053238443,1.40683550634,-0.0189107374123,0.00347481775658,6.25221920013,front-left
0.00247903652939,0.000557936052935,0.232464288054,0.00103735318151,4.9726051121e-06,-0.961802676367,-5.46512846244e-05,-0.0044780166039,-0.00221053171805,1.40683474301,-0.018949390243,0.0034733442848,6.25043964386,front-left
0.00248276845935,0.000565384862673,0.232464338417,-0.000998796422225,-4.62855865686e-05,-0.96326993318,-7.85487587414e-05,0.00445951088037,-0.00221042988145,-1.40030379715,-0.0265753005819,-0.00390695378222,6.25224924088,front-left
