timestamp,drone_pos_x,drone_pos_y,drone_pos_z,drone_roll,drone_pitch,drone_yaw,drone_lin_vel_x,drone_lin_vel_y,drone_lin_vel_z,drone_ang_vel_x,drone_ang_vel_y,drone_ang_vel_z,closest_obs_distance,closest_obs_pos,identified_markers_ids
1646035459,35.2078510443,-8.9458379156,2.1824659225,-9.01477515195e-06,0.000105333861449,179.964849737,0.00126958652918,0.00188648889942,0.00165997827863,-0.588817373887,0.426749530499,0.039464895632,11.5302362442,left,[]
1646035459,35.2078496263,-8.94583617465,2.18246592262,-9.10256354877e-06,0.000106921929067,179.964498172,0.00127311758456,0.00189752174344,0.00166422242797,-0.592246982482,0.428118316128,0.0398410894812,11.5293388367,left,[]
1646035460,35.2078467701,-8.94583266087,2.18246592258,-9.16008310609e-06,0.000108277291666,179.963789336,0.00128851365472,0.00192141686733,0.00168443938476,-0.599703462847,0.433319637176,0.0403574158874,11.5324554443,left,[]
1646035461,35.2078128984,-8.94578888526,2.18246635772,8.96888514988e-05,-0.000227834813918,179.954888784,-0.00168717875576,-0.00117502543164,0.00113450890182,0.408112024624,-0.533551503337,-0.0460075429442,11.5206212997,left,[]
1646035462,35.207929951,-8.94577686018,2.25272477719,0.00200652493498,-0.0532713642141,179.951064487,0.00143330897533,1.22509408327e-05,0.531050824609,-0.00515457154671,0.0754575034014,2.0663931815e-07,11.1292867661,left,[]
1646035464,35.212080184,-8.94563490971,3.06137941063,4.47811003336e-05,0.00380902011232,179.951065637,0.00481327544584,0.000194333178425,0.908246410734,0.00104619624535,-0.0174673221743,8.70943105676e-07,8.58491230011,left,[]
1646035465,35.2162508668,-8.94545663626,4.02763842312,-0.000351315374931,0.00875187947518,179.951066594,0.0031747143375,0.000141537015629,0.963480796562,4.64774540657e-06,0.00164755876068,9.23975772796e-07,8.30379676819,left,[]
1646035466,35.2186771846,-8.94534646017,5.01968344337,-0.000261724798183,0.00718472173579,179.951067369,0.00172461729932,8.06707230278e-05,0.864743746385,-0.000107548181699,-0.0766149312107,2.36123751317e-07,9.01660919189,left,[]
1646035467,35.2207117523,-8.94528129223,5.04760947511,-0.000362979053568,0.053387839926,179.951067372,0.00290925324952,4.92734965847e-05,-0.204338883021,-0.00042177914448,0.128530543889,4.0130263741e-07,9.00296211243,left,[]
1646035468,35.2220338695,-8.94525013193,5.45983051428,-0.0209134597883,0.018787960784,160.664547238,0.000310220704813,-0.000151640232475,0.111503921822,0.0843820579649,0.0396433483158,-75.5077728183,9.25570297241,left,[]
1646035470,34.8026710506,-8.62886977758,5.37920383294,0.242877210568,4.04922085515,139.344894791,-0.840028357193,0.675291358364,-0.120181999092,4.67174305937,5.21151328124,-1.86308810362,12.3422966003,left,[]
1646035471,33.8390893314,-7.82371321338,5.27395239639,0.0945046805187,0.846908640456,138.816456758,-0.99923000112,0.853668926243,-0.0917758785213,0.789000603425,0.740212159572,-0.0595478153181,14.9001483917,left,[]
1646035472,32.8779453289,-6.99489885053,5.19333283876,0.0311985585906,0.403367774667,138.798868323,-0.975529212385,0.84662532441,-0.0751381456906,0.0950861108208,0.0551368129391,-0.00218095299502,15.2717971802,left,[]
1646035473,31.9301614261,-6.16977500673,5.12600863322,0.0106650253507,0.403322594925,138.798161357,-0.94067371748,0.820767192159,-0.0613334759521,-0.0254302279249,-0.045795382332,-1.76177776626e-05,14.7827768326,front,[]
1646035474,30.9656947724,-5.32725585407,5.06859698487,0.00386812556937,0.460935169167,138.798131431,-0.916234174755,0.801067844593,-0.0495021512756,-0.0308956617738,-0.040671465863,2.34724856496e-05,13.6277608871,front,[]
1646035476,30.0568197401,-4.53227644601,5.02387279099,0.00163425243978,0.502544423594,138.798129356,-0.902829349585,0.789948882789,-0.0402715448875,-0.0203786641646,-0.0252853668882,1.10390400698e-05,12.448261261,front,[]
1646035477,29.1724730326,-3.75836455273,5.009551804,-0.00832265703945,-8.56082703796,138.853374617,-0.7903094781,0.691514194546,0.374160532168,19.7682499565,22.3899896924,0.773125991035,10.9283666611,front,[]
1646035478,28.8979964693,-3.52020987098,5.98425889894,0.0155079068951,-1.95286974441,139.042208149,-0.00136754437322,-0.000858513499074,1.17116073275,-2.56309212562,-2.94463739169,0.00829691340019,10.5283470154,front,[]
1646035479,28.9642927491,-3.57890965468,7.18990314521,0.00674751962639,2.98193274542,139.046538619,0.0556581845913,-0.048489589359,1.09036371934,-113.322012534,-130.548944245,0.362048092092,10.4370126724,front,[]
1646035480,28.5631904619,-3.23350652074,7.40870167018,-0.00564618634133,3.83171598787,139.36640474,-0.801423029673,0.688387419565,-0.0174465335852,4.12535236015,4.83363407116,-0.0051266591007,10.0569515228,front,[]
1646035482,27.6509005383,-2.45034630041,7.38826480664,-0.000331284767151,0.888259350789,139.362862463,-0.976602714003,0.838197381573,-0.0194494033456,0.691055214445,0.806692577696,-0.000920568983281,8.7058839798,front,[]
1646035483,26.7037653096,-1.63746701604,7.37109316674,1.33435354105e-05,0.439560709741,139.362587193,-0.967594130153,0.830425960219,-0.0160743010988,0.0767252703221,0.0895233503051,-4.09438299221e-05,7.47345161438,front,[]
1646035484,25.7502956565,-0.819165022489,7.35653313573,4.13844955553e-05,0.426595664538,139.362575947,-0.939992223792,0.80673470531,-0.0131303112878,-0.0258953501098,-0.0301665090355,-8.50919033535e-07,6.31830692291,front,[]
1646035485,25.0078027693,-0.185524085207,7.33526981093,-3.14347227847,5.3565981888,172.739700792,-0.492885341457,0.288821084076,-0.0229772948714,-0.657044518293,-12.5328821055,21.3538609616,5.55486679077,front-right,[]
1646035486,24.1169998123,-0.0806706561722,7.31992700556,-0.735855288038,1.89487360913,178.655234484,-1.13648485139,-0.0153825591548,-0.00761206064204,-1.54319604564,2.5857202301,0.612585460507,5.18532896042,front-right,[]
1646035488,22.9153437566,-0.123453843564,7.31457281376,0.0400396986316,0.683420845524,178.842809521,-1.23063920337,-0.0491616796985,-0.00432884141691,-0.254965617011,0.441549310725,0.0179533018682,5.02712345123,right,[]
1646035489,21.6864391468,-0.16196346064,7.31063270365,0.126260035667,0.499282799353,178.848360659,-1.22242668821,-0.026059166147,-0.00358464565417,0.0139637606872,0.0408134539508,0.000392651239961,5.21077871323,right,[]
1646035490,20.4848221741,-0.176384827891,7.30740989685,0.0903178147964,0.498792310316,178.848260194,-1.20562605731,-0.00444885964464,-0.00294038942762,0.0436377082809,-0.0204702524399,0.000198894999725,5.43865871429,front-right,[]
1646035491,19.2617273221,-0.173269946893,7.304706491,0.0509908555052,0.520536166102,178.848110598,-1.19361014642,0.00921773046562,-0.002379685262,0.0309123609286,-0.0203516375032,0.000175216413997,4.72056102753,front-right,[]
1646035492,18.1074688386,-0.160549305404,7.30261651694,0.0273142404374,0.53627371591,178.848030626,-1.18693384309,0.0162672298669,-0.0019446983629,0.0179591552023,-0.0131231007582,0.000110586398454,4.25875759125,front-right,[]
1646035494,16.9226427693,-0.142183615564,7.30086072754,0.0138088677007,0.546081637416,178.847986624,-1.18311056435,0.0200330935923,-0.00157997242572,0.00944314204549,-0.00745993578848,6.04232161117e-05,4.06269884109,right,[]
1646035495,15.7170465909,-0.120662748905,7.29940832591,0.00674450697886,0.551622970148,178.847963876,-1.18102649404,0.0219364628515,-0.00127884801565,0.00470466658247,-0.00401437095211,3.0709565169e-05,4.20000696182,right,[]
1646035496,14.5602160889,-0.0986741462231,7.29827416182,0.00335210016679,0.554498669772,178.847953009,-1.17996264847,0.0228332738608,-0.00104398227297,0.00236061438023,-0.00217559789905,1.55787503815e-05,4.65249586105,right,[]
1646035497,13.3903455485,-0.0758903722387,7.29681349796,0.522586418378,-9.28275976324,174.545383426,-1.03000000335,0.0182683008366,-0.00916681691655,-6.16703782671,17.4999355221,-49.0865301824,5.31572675705,right,[]
1646035498,12.7924977908,0.0606775853075,7.28067178129,2.25095179021,4.91949475876,136.522607707,-0.629745955727,0.537059955531,-0.010429923153,7.81695301526,2.73832588243,-4.05091479297,5.59798431396,right,[]
1646035500,12.0607341691,0.852017617079,7.27870967047,0.176479465081,1.21780459134,135.304025549,-0.780012907934,0.909018989882,0.00230599451344,1.53595287732,0.419369020772,-0.115558961714,5.67501115799,right,[]
1646035501,11.5352147237,1.51760215782,7.2713928005,-3.51903117746,1.11382368578,-177.36560402,-0.168975467376,0.295576128105,-0.0105236501305,4.32956147016,-135.056350774,41.3274774058,8.14118289948,right,[]
1646035502,10.9697947025,1.53289900163,7.24085535483,-1.49438647719,-3.77804605543,-165.800919177,-0.678552074001,-0.0879429597079,-0.320548100402,5.59309027766,40.7840620548,1.1105451519,9.03363227844,right,[]
1646035503,10.6257540714,1.42339501975,6.25051049607,-0.282799024836,-1.53074019006,-165.514961079,-0.102060031214,-0.113073590818,-1.1902533064,-0.316763126494,-2.67526453553,0.0452990264524,10.5332603455,right,[]
1646035505,10.5291108803,1.33249841813,5.48925310124,0.453603294149,9.04799019101,174.181157976,-0.4905149443,-0.0410279556709,-0.109066010594,0.491773180997,10.6134834272,-12.1417514919,9.34716701508,right,[]
1646035506,9.56467842399,1.39457190945,5.47222873362,0.285512086966,1.86601367567,170.954387008,-1.21152253543,0.133742757806,0.014806124193,0.683321012741,2.72258318707,-0.350305223783,9.85597515106,right,[]
